Timestamp,LED,Vi,Vo,LUX
9497060,150,2.25000,3.97361,127.76107
9505308,150,2.25000,3.97849,129.02255
9513548,150,2.25000,3.97849,129.02255
9521788,150,2.25000,3.98338,130.30113
9530028,150,2.25000,3.97361,127.76107
9538268,150,2.25000,3.97361,127.76107
9546508,150,2.25000,3.97361,127.76107
9554748,150,2.25000,3.97361,127.76107
9562988,150,2.25000,3.96383,125.28791
9571228,150,2.25000,3.96383,125.28791
9579468,150,2.25000,3.96383,125.28791
9587708,150,2.25000,3.95894,124.07575
9595944,150,2.25000,3.95406,122.87940
9604176,150,2.25000,3.95406,122.87940
9612400,150,2.25000,3.95894,124.07575
9620632,150,2.25000,3.96383,125.28791
9628872,150,2.25000,3.96383,125.28791
9637116,150,2.25000,3.96872,126.51632
9645352,150,2.25000,3.95894,124.07575
9653584,150,2.25000,3.96383,125.28791
9661824,150,2.25000,3.96383,125.28791
9670068,150,2.25000,3.96872,126.51632
9678308,150,2.25000,3.96872,126.51632
9686548,150,2.25000,3.96872,126.51632
9694788,150,2.25000,3.97361,127.76107
9703028,150,2.25000,3.96872,126.51632
9711276,150,2.25000,3.97849,129.02255
9719516,150,2.25000,3.97849,129.02255
9727756,150,2.25000,3.97849,129.02255
9736004,150,2.25000,3.97849,129.02255
9744236,150,2.25000,3.96872,126.51632
9752476,150,2.25000,3.96872,126.51632
9760716,150,2.25000,3.96872,126.51632
9768956,150,2.25000,3.96872,126.51632
9777200,150,2.25000,3.95894,124.07575
9785432,150,2.25000,3.96383,125.28791
9793672,150,2.25000,3.96383,125.28791
9801912,150,2.25000,3.95894,124.07575
9810144,150,2.25000,3.95894,124.07575
9818376,150,2.25000,3.95406,122.87940
9826600,150,2.25000,3.95894,124.07575
9834832,150,2.25000,3.96383,125.28791
9843072,150,2.25000,3.96383,125.28791
9851312,150,2.25000,3.96383,125.28791
9859556,150,2.25000,3.96383,125.28791
9867796,150,2.25000,3.96383,125.28791
9876036,150,2.25000,3.95894,124.07575
9884268,150,2.25000,3.96872,126.51632
9892508,150,2.25000,3.96872,126.51632
9900748,150,2.25000,3.96872,126.51632
9908988,150,2.25000,3.96872,126.51632
9917228,150,2.25000,3.97361,127.76107
9925468,150,2.25000,3.97361,127.76107
9933708,150,2.25000,3.97361,127.76107
9941956,150,2.25000,3.97849,129.02255
9950188,150,2.25000,3.97361,127.76107
9958436,150,2.25000,3.96872,126.51632
9966672,150,2.25000,3.96383,125.28791
9974916,150,2.25000,3.96872,126.51632
9983152,150,2.25000,3.96383,125.28791
9991396,150,2.25000,3.96872,126.51632
9999632,150,2.25000,3.97361,127.76107
10007872,150,2.25000,3.96383,125.28791
10016176,150,2.25000,3.95406,122.87940
10024484,250,3.75000,3.95406,122.87940
10032780,250,3.75000,4.14956,186.58802
10041080,250,3.75000,4.19355,207.07838
10049392,250,3.75000,4.20332,212.06034
10057700,250,3.75000,4.20821,214.61497
10066016,250,3.75000,4.21310,217.21365
10074336,250,3.75000,4.20821,214.61497
10082640,250,3.75000,4.20821,214.61497
10090944,250,3.75000,4.20821,214.61497
10099260,250,3.75000,4.21310,217.21365
10107572,250,3.75000,4.21310,217.21365
10115880,250,3.75000,4.20332,212.06034
10124188,250,3.75000,4.20821,214.61497
10132504,250,3.75000,4.21310,217.21365
10140824,250,3.75000,4.20821,214.61497
10149136,250,3.75000,4.20821,214.61497
10157440,250,3.75000,4.21310,217.21365
10165756,250,3.75000,4.21310,217.21365
10174068,250,3.75000,4.20821,214.61497
10182372,250,3.75000,4.20821,214.61497
10190692,250,3.75000,4.21310,217.21365
10199012,250,3.75000,4.20821,214.61497
10207336,250,3.75000,4.20821,214.61497
10215660,250,3.75000,4.21799,219.85723
10223968,250,3.75000,4.20821,214.61497
10232276,250,3.75000,4.21310,217.21365
10240588,250,3.75000,4.20821,214.61497
10248892,250,3.75000,4.20821,214.61497
10257196,250,3.75000,4.20821,214.61497
10265508,250,3.75000,4.21310,217.21365
10273832,250,3.75000,4.21310,217.21365
10282152,250,3.75000,4.20821,214.61497
10290456,250,3.75000,4.20821,214.61497
10298760,250,3.75000,4.21310,217.21365
10307076,250,3.75000,4.21310,217.21365
10315388,250,3.75000,4.20821,214.61497
10323692,250,3.75000,4.20821,214.61497
10332004,250,3.75000,4.20821,214.61497
10340316,250,3.75000,4.21310,217.21365
10348640,250,3.75000,4.20821,214.61497
10356952,250,3.75000,4.21310,217.21365
10365264,250,3.75000,4.20821,214.61497
10373568,250,3.75000,4.20821,214.61497
10381876,250,3.75000,4.21310,217.21365
10390188,250,3.75000,4.20821,214.61497
10398492,250,3.75000,4.20821,214.61497
10406804,250,3.75000,4.20821,214.61497
10415120,250,3.75000,4.21310,217.21365
10423440,250,3.75000,4.21310,217.21365
10431760,250,3.75000,4.20821,214.61497
10440064,250,3.75000,4.20821,214.61497
10448372,250,3.75000,4.21310,217.21365
10456684,250,3.75000,4.20821,214.61497
10464988,250,3.75000,4.21310,217.21365
10473308,250,3.75000,4.20821,214.61497
10481620,250,3.75000,4.21310,217.21365
10489944,250,3.75000,4.20821,214.61497
10498256,250,3.75000,4.20821,214.61497
10506560,250,3.75000,4.20821,214.61497
10514864,250,3.75000,4.21310,217.21365
10523172,250,3.75000,4.20821,214.61497
10531476,250,3.75000,4.21310,217.21365
10539788,250,3.75000,4.20821,214.61497
10548100,250,3.75000,4.20821,214.61497
10556412,250,3.75000,4.21310,217.21365
10564736,250,3.75000,4.21310,217.21365
10573056,250,3.75000,4.20821,214.61497
